username,tweetcreatedts,tweet
Koswara7Koko,2022-07-14 02:44:02+00:00,"@humasdisdikkab1 @pemkabekasi @diskomkabbekasi @daniramdan0112 pagi admin, untuk lapor diri boleh tidak saya input lagi secara online, walaupun saya sudah lapor diri/ daftar ulang secara offline ke sekolah tujuan, tks"
Marvinjustin6,2022-07-14 02:04:19+00:00,"Gw di 2021: Kelas 9 yok bisa yok offline
Gw di 2022: Yeh kocak offline sih iya tapi pindah sekolah"
gooddaygoodword,2022-07-14 01:47:15+00:00,"Minggu depan anak2 sudah sekolah offline, 100% gak ada Online lagi

Cece pulang jam 3 sore
Jojo pulang jam 1 siang

Mari mempersiapkan diri untuk bikin bento box 🍱 bekal sekolah anak2

1 Box makan siang
1 Box Snack

Semangat 🔥🔥🔥"
into_fairytale,2022-07-14 01:15:40+00:00,@undipmenfess Offline please gw udah capek banget sekolah online mulu
brainlyprem,2022-07-14 01:12:02+00:00,@beruanghazel lahh iya kaah??? sekolah ku satu angkatan 500+ udah offline dr lama😭😭
SuciTehila,2022-07-13 23:56:38+00:00,"Sistem zonasi emang kacau, orang bisa dengan mudah memanipulasi titik koordinat rumah ke sekolah, dan jalur""offline"" juga lebih ngeri, sebab rumahnya sama sekolah gak nyambung asal ada duit, simak yuk serba-serbi MMC
#IslamKaffah 
https://t.co/zx9tzsR1pE https://t.co/qgc0dsEb9z"
rarainsyira,2022-07-13 23:44:17+00:00,"Masuk kantor barengan anak sekolah, jam 7. Mulai senin kemarin semua sekolah udah offline. Rame bgt jalanan buset. 

Berangkat setengah 7 sudah tidak berlaku lagi gaes :')"
adictsnm,2022-07-13 19:03:56+00:00,gadang sampe jam segini cuma buat nyari tas sekolah yg menurut gua baguss... tapi sayang belum nemu😭 pengen beli di offline tapi males ke mall dan takut ga cocok juga (ribet emng)👎🏻👎🏻👎🏻
chocodarx,2022-07-13 18:36:25+00:00,"@collegemenfess Agak menyesal malah pilih jauh, dulu gak sedeket itu sama bonyok, tp setelah lulus sekolah malah deket jd gatega ninggalin kalo gue udah offline nanti :("
yuvmori,2022-07-13 17:45:01+00:00,"di situ ortu udah kek, ""ini anak di sekolah lumayan berprestasi kok susah dapet ptn,"" 😭😭😭 ya gimana mau lolos apalagi utbk, anakmu ga belajar sama sekali... kelas 12 full turu sama nonton anime, mana ga les online/offline. HAHAHA maaf banget ya Allah. https://t.co/w9jZmoovmq"
milkitageez,2022-07-13 15:53:19+00:00,Gua ketika kembali sekolah offline: https://t.co/UFGwgWZozT
pwencake,2022-07-13 15:09:15+00:00,sekolah offline plis online gabut bgt https://t.co/o5bwlUoeb0
aurorastudied,2022-07-13 14:57:39+00:00,"@woundervul Alin, kalo sekolahmu paskibnya bagus kayanya harus ada yg di relain deh. Soalnya temenku yg paskib tuh kalo dah lomba bener bener latihan bisa tiap hari. Apalagi dah offline, sekolah full day, proker event osis jalan semua. Capek banget pasti huhu"
markas_cea,2022-07-13 14:53:52+00:00,29. Lebih suka sekolah/kuliah offline or online?
lacibolalalala2,2022-07-13 14:09:02+00:00,"ppppp,KASI INFO DONG LOKER PART TIME UNTUK ANAK SEKOLAH,DAERAH TANGERANG,SEPATAN.
loker offline or online,semua bisa.. https://t.co/o0u2oUekC6"
idlechatters,2022-07-13 13:58:48+00:00,dari kemarrn belom ngejar materi lagii sksksk sekolah offline mmbuat energi ku trrkuras habiest 😢😢😢
noturbussine5s,2022-07-13 13:54:35+00:00,@tanyakanrl gatau knp garagara sekolah offline fullday jadi ngantukan anjir
SkzBrowniez,2022-07-13 13:46:21+00:00,@sqlmh1129 Yaaaa gt deh. Sekolah offline plis cepet full dibanyakin tgs2nya. Ini bnyk yg gabut murid2nya
caimjade,2022-07-13 12:52:43+00:00,wehh kayaknya aku bakal jarang buka twitter soal e sekolah dh offline trus balik jam 3 🥲
MarsWenHW,2022-07-13 12:36:29+00:00,"Sekolah mulai balik offline semua, jumlah kasus positif naik lagi. https://t.co/eSM0moLyz5"
pmstudyjournal,2022-07-13 12:29:14+00:00,ternyata sekolah offline sampe sore tuh capek juga ya? keknya ini efek kelamaan belajar di rumah deh 🥲
