tweet,tweet_cf
sekolah offline/online??,sekolah offline/online??
"SchApp! Yang sekolah offline, semangat ya!

✄・・・
🧐 Trivia: Katak padang pasir hanya keluar selama satu bulan di bulan Juli, dan tidur selama 11 bulan sisanya","schapp! yang sekolah offline, semangat ya!

✄・・・
🧐 trivia: katak padang pasir hanya keluar selama satu bulan di bulan juli, dan tidur selama 11 bulan sisanya"
"hai, hari ini yang sekolah, sekolah nya offline apa online ni?","hai, hari ini yang sekolah, sekolah nya offline apa online ni?"
"Pagi moots, yang sekolah offline semangat ya","pagi moots, yang sekolah offline semangat ya"
"@zwooflwr Ga pernah tidur nyenyak selama bulan Oktober 😭 sekolah masih online, tapi 2 minggu sekali offline. Okk u too!! Have a nice day too 🤩","@zwooflwr ga pernah tidur nyenyak selama bulan oktober 😭 sekolah masih online, tapi 2 minggu sekali offline. okk u too!! have a nice day too 🤩"
"Kalian sekolah nya offline/online?
Me: offline https://t.co/hhNLrb025W","kalian sekolah nya offline/online?
me: offline https://t.co/hhnlrb025w"
"hi aku hari ini sekolah offline
kalian offline/online?","hi aku hari ini sekolah offline
kalian offline/online?"
"Neozen, maaf gak bermaksud menyinggung siapapun. Kalo kalian mau ngingetin streaming gak papa bgt tapi harus baik2 juga jangan maksa apalagi dg kata2 yg kurang baik, inget sebagian drikita ada yg masih sekolah/kerja dan banyk yg mulai offline. Streaming sesempatnya aja  (cont..)","neozen, maaf gak bermaksud menyinggung siapapun. kalo kalian mau ngingetin streaming gak papa bgt tapi harus baik2 juga jangan maksa apalagi dg kata2 yg kurang baik, inget sebagian drikita ada yg masih sekolah/kerja dan banyk yg mulai offline. streaming sesempatnya aja  (cont..)"
@msahrio sekolah offline atau online nih??,@msahrio sekolah offline atau online nih??
"Pagii moots, pada sekolah online atau offline?","pagii moots, pada sekolah online atau offline?"
"@lunaemovas Kita satu kaum, akhirnya ada orang yg gak suka kembali sekolah offline  😆","@lunaemovas kita satu kaum, akhirnya ada orang yg gak suka kembali sekolah offline  😆"
akhirnya yang lain ngerasain capeknya sekolah offline,akhirnya yang lain ngerasain capeknya sekolah offline
"DULU PAS JAMAN MASIH SEKOLAH OFFLINE😭😭😭 pasti aja begini
""yang kalah gantian ya""
""PAKE LAGU YANG SUSAH KEK""
""yang dapet bintang di level hard, nanti aku traktir seblak ws""
""lagu aju nice woiii""
""AAAA APAAN HDUSISHDOSHWIWJWBS"" /kalau kalah https://t.co/qWFgJySwhO","dulu pas jaman masih sekolah offline😭😭😭 pasti aja begini
""yang kalah gantian ya""
""pake lagu yang susah kek""
""yang dapet bintang di level hard, nanti aku traktir seblak ws""
""lagu aju nice woiii""
""aaaa apaan hdusishdoshwiwjwbs"" /kalau kalah https://t.co/qwfgjyswho"
sekolah offline https://t.co/Jxgd0T5whw,sekolah offline https://t.co/jxgd0t5whw
@encity_mlyt offline ini lagi di sekolah,@encity_mlyt offline ini lagi di sekolah
@bertanyarl suka sekolah/kerja online/offline??,@bertanyarl suka sekolah/kerja online/offline??
"ini adek-adek w sekolah dpt uang jajan, w di rumah doang ga dpt uang jajan, huaaa kpn kuliah offline","ini adek-adek w sekolah dpt uang jajan, w di rumah doang ga dpt uang jajan, huaaa kpn kuliah offline"
pengen sekolah offline tpi gk mau belajar😔☝️,pengen sekolah offline tpi gk mau belajar😔☝️
"Udah effort bgt ni sekolah offline biar pelajaran, malah jamkos😇","udah effort bgt ni sekolah offline biar pelajaran, malah jamkos😇"
"waktu, bisa lebih maksimal belajarnya. mana gaboleh bawa bekal makanan, sedangkan sekolah jam 6.30 udah bel masuk. bingung gak lu sepagian gak makan, loyo. apalagi ye, oiya offline kan setengah doang, sisanya tetep d rumah, itu belajarnya makin gak maksimal. yang di rumah kadang-","waktu, bisa lebih maksimal belajarnya. mana gaboleh bawa bekal makanan, sedangkan sekolah jam 6.30 udah bel masuk. bingung gak lu sepagian gak makan, loyo. apalagi ye, oiya offline kan setengah doang, sisanya tetep d rumah, itu belajarnya makin gak maksimal. yang di rumah kadang-"
"gue tim kontra offline sih. semenjak bapak gue meninggal kan mama gue harus kerja, jadi ga ada yang bisa anter jemput gue ke sekolah. sedangkan ongkos ke sekolah tuh 14k. 14k pulang balik 28k, uang jajan gue aje 25k doang. sekarang malah bingung uang jajan, gak ada yang ngasih.","gue tim kontra offline sih. semenjak bapak gue meninggal kan mama gue harus kerja, jadi ga ada yang bisa anter jemput gue ke sekolah. sedangkan ongkos ke sekolah tuh 14k. 14k pulang balik 28k, uang jajan gue aje 25k doang. sekarang malah bingung uang jajan, gak ada yang ngasih."
"@DEARJAEMARK Iyaa padahal ini pas chorusnya easy listening bikin nagih, aku aja ngajak streaming ke temen yg non K-popers katanya lagunya enak 😭
Apa mungkin krn rilisnya di hari² weekday ya, terus udah mulai sekolah offline juga, jadi pada gk banyak waktu luang buat streaming 😥","@dearjaemark iyaa padahal ini pas chorusnya easy listening bikin nagih, aku aja ngajak streaming ke temen yg non k-popers katanya lagunya enak 😭
apa mungkin krn rilisnya di hari² weekday ya, terus udah mulai sekolah offline juga, jadi pada gk banyak waktu luang buat streaming 😥"
"@storyuntitledd yeay bagus! udahh, kebetulan sekolah offline aja ini 
btw, have a great day kak tii, semangat yaa buat hari ini! 🥰💪💪","@storyuntitledd yeay bagus! udahh, kebetulan sekolah offline aja ini 
btw, have a great day kak tii, semangat yaa buat hari ini! 🥰💪💪"
"sch! gimana cara nolak orang kelas minta contek tugas pas sekolah offline:(. Hadeh, kan gamungkin bilang belum, nantikn ketahuan:(","sch! gimana cara nolak orang kelas minta contek tugas pas sekolah offline:(. hadeh, kan gamungkin bilang belum, nantikn ketahuan:("
semoga sekolah offline gue lancar https://t.co/cGvfk4640b,semoga sekolah offline gue lancar https://t.co/cgvfk4640b
@bertanyarl sekolah offline,@bertanyarl sekolah offline
sekolah offline🐄🐄,sekolah offline🐄🐄
"@ell_amethyst imel udah mulai sekolah offline kak😭
astagaaa kirain imel itu😭","@ell_amethyst imel udah mulai sekolah offline kak😭
astagaaa kirain imel itu😭"
"@Lionbby_ pgnnya si gt, tp gue sekolah offline 😭","@lionbby_ pgnnya si gt, tp gue sekolah offline 😭"
"Ya Allah, sy bosen sekolah offline terus","ya allah, sy bosen sekolah offline terus"
gamau sekolah offline😭,gamau sekolah offline😭
"@szunarintarou Morning lang, hari ini kesibukannya apa? Sekolah? Kuliah? Online offline?","@szunarintarou morning lang, hari ini kesibukannya apa? sekolah? kuliah? online offline?"
"@kkajenn Morning, kesibukannya apa hari ini? Kuliah? Sekolah? Offline online?","@kkajenn morning, kesibukannya apa hari ini? kuliah? sekolah? offline online?"
@nctzenbase Inget udah banyak yang sekolah offline,@nctzenbase inget udah banyak yang sekolah offline
sekolah offline is sucks,sekolah offline is sucks
Adekku udah mulai masuk sekolah offline 👍🏻👍🏻,adekku udah mulai masuk sekolah offline 👍🏻👍🏻
"Ngantuk bgt sekolah offline pagi"" td malem bru selese nugas jam 2🙂","ngantuk bgt sekolah offline pagi"" td malem bru selese nugas jam 2🙂"
"sekolah offline tu enak, kalau punya temen :)","sekolah offline tu enak, kalau punya temen :)"
dulu kok gue bisa ya survive sekolah offline selama seminggu terus smpe sore lagi awokawok. sekarang kyk seminggu 3 kali aja rasanya capek bngt dah,dulu kok gue bisa ya survive sekolah offline selama seminggu terus smpe sore lagi awokawok. sekarang kyk seminggu 3 kali aja rasanya capek bngt dah
"@lmkhccvr uda sekolah offline, tapi hari ini jadwal online","@lmkhccvr uda sekolah offline, tapi hari ini jadwal online"
Sekolah offline tiap hari rasanya capek bgt,sekolah offline tiap hari rasanya capek bgt
Adakah yang sekolah offline hari ini?,adakah yang sekolah offline hari ini?
Tentu saja saya sekolah offline lagi,tentu saja saya sekolah offline lagi
akhirnya sekolah offline https://t.co/NncbUMnM33,akhirnya sekolah offline https://t.co/nncbumnm33
"tanyarl
balik ke kos sekarang yay/nay
belum sekolah offline si🥲","tanyarl
balik ke kos sekarang yay/nay
belum sekolah offline si🥲"
"@S_AshelJKT48 udahh,mau sekolah offline ka wkwk,have a nice day","@s_asheljkt48 udahh,mau sekolah offline ka wkwk,have a nice day"
@oshxjung sekolah w knp gada yg kena ya... keren juga... OFFLINE AGAKNYA MAYAN NYIKSA ANJIR,@oshxjung sekolah w knp gada yg kena ya... keren juga... offline agaknya mayan nyiksa anjir
sekolah offline?,sekolah offline?
"sekolah offline gaenk klo di sesi, ga adil sm yg online soalny nnt takutnya klo materine nggak diulang lg waktu gnti sesi tp malah lanjut materi","sekolah offline gaenk klo di sesi, ga adil sm yg online soalny nnt takutnya klo materine nggak diulang lg waktu gnti sesi tp malah lanjut materi"
@ishyuckandk harusnya sih lagi offline tapi di sekolah ku lagi ada acara jadi hari ini online,@ishyuckandk harusnya sih lagi offline tapi di sekolah ku lagi ada acara jadi hari ini online
@jkkily Oalah kamu sekolah offline. Semangat 🥰,@jkkily oalah kamu sekolah offline. semangat 🥰
sekolah offline😿,sekolah offline😿
Sch! Struggle ulangan pake kertas lembaran pas sekolah offline 😔 https://t.co/ynVrjsNBcx,sch! struggle ulangan pake kertas lembaran pas sekolah offline 😔 https://t.co/ynvrjsnbcx
Hadeh dah sekolah offline aja,hadeh dah sekolah offline aja
@emulsyen Pagi ijaaa! Semangat kamu jugak! Sekolah offline apa masih online ja?,@emulsyen pagi ijaaa! semangat kamu jugak! sekolah offline apa masih online ja?
"@convomf engga kadang abis subuh tidur lagi, soalnya papah kerja biasanya mulai jam 8/9an apa lagi pas aku sekolah offline ydh deh gada yg jam 6 udah bangun🙂🙇‍♀️","@convomf engga kadang abis subuh tidur lagi, soalnya papah kerja biasanya mulai jam 8/9an apa lagi pas aku sekolah offline ydh deh gada yg jam 6 udah bangun🙂🙇‍♀️"
"Gak lgi gue mandi jam sgitu klo gk sekolah offline, DINGIN NJRR","gak lgi gue mandi jam sgitu klo gk sekolah offline, dingin njrr"
"pagii semuaa, have a nice day♡ semangat buat yang sekolah offline","pagii semuaa, have a nice day♡ semangat buat yang sekolah offline"
"hadeh, hari ini sekolah offline😭","hadeh, hari ini sekolah offline😭"
"@convomf kalo kamu udah sekolah offline, jualan roti/donat aja pagi2. temenku dulu jualan itu laku sih soalnya pada beli buat sarapan biasanya.","@convomf kalo kamu udah sekolah offline, jualan roti/donat aja pagi2. temenku dulu jualan itu laku sih soalnya pada beli buat sarapan biasanya."
"@Yxwidy Morninggg, sekolah offline ni","@yxwidy morninggg, sekolah offline ni"
@convomf eh nderr tp ini buat sekolah offline doang yaa 😁😁,@convomf eh nderr tp ini buat sekolah offline doang yaa 😁😁
@convomf Pengennya gitu tapi aku sekolah offline :v,@convomf pengennya gitu tapi aku sekolah offline :v
Gimana biar gue ada semangat sekolah offline,gimana biar gue ada semangat sekolah offline
"@fairytales__17 Wih kecee, hari ini sekolah nya online apaa offline?","@fairytales__17 wih kecee, hari ini sekolah nya online apaa offline?"
"@convomf Enak kok offline, cuman karena udah terlalu lama online, capeknya offline jadi kerasa banget. Capek fisik ya bukan pikiran, kayak bolak-balik nya, belum lagi pagi-pagi udah harus siap ke sekolah tuh kerasa banget nguras tenaga.","@convomf enak kok offline, cuman karena udah terlalu lama online, capeknya offline jadi kerasa banget. capek fisik ya bukan pikiran, kayak bolak-balik nya, belum lagi pagi-pagi udah harus siap ke sekolah tuh kerasa banget nguras tenaga."
"Lemes banget, gak ada mood buat ngapa-ngapain. Gak mau sekolah offline juga nanti pagi. Buat apa gitu","lemes banget, gak ada mood buat ngapa-ngapain. gak mau sekolah offline juga nanti pagi. buat apa gitu"
"@schfess Dari awal juga gak pernah pengen offline class, makanya suka ngerasa aneh kalau ada yang ngebet banget pengen sekolah offline","@schfess dari awal juga gak pernah pengen offline class, makanya suka ngerasa aneh kalau ada yang ngebet banget pengen sekolah offline"
"Sch! No salty ya, awalnya aku seneng sekolah offline, seneng banget, tapi ternyata disekolahan juga cuma dikasih tugas aja, gak dijelasin materi + memperdalam materi, dan selalu bilang ""nanti materinya dibaca sendiri ya""🥲","sch! no salty ya, awalnya aku seneng sekolah offline, seneng banget, tapi ternyata disekolahan juga cuma dikasih tugas aja, gak dijelasin materi + memperdalam materi, dan selalu bilang ""nanti materinya dibaca sendiri ya""🥲"
"Langit, bisakah kau turunkan meteor ke sekolahku? Aku tidak ingin sekolah offline","langit, bisakah kau turunkan meteor ke sekolahku? aku tidak ingin sekolah offline"
"•PROGRESS•
1. today aku abis sekolah offline mat peminatan dan mat wajib
2. lanjut sekolah daring sampe jam dua siang
3. tobk gratisan dari salah satu bimbel deket sekolah
4. disambung les
5. dan belajar uh fisika buat besok

*kinda tired but it's ok https://t.co/rUJo4G4rNK","•progress•
1. today aku abis sekolah offline mat peminatan dan mat wajib
2. lanjut sekolah daring sampe jam dua siang
3. tobk gratisan dari salah satu bimbel deket sekolah
4. disambung les
5. dan belajar uh fisika buat besok

*kinda tired but it's ok https://t.co/rujo4g4rnk"
males besok sekolah offline..,males besok sekolah offline..
"besok sekolah offline tp gua blm ngantuk help, mana pagi sekolahnya","besok sekolah offline tp gua blm ngantuk help, mana pagi sekolahnya"
"Bedanya yang bikin lebih berat saat ini, siswanya jadi kudu belajar dewe.

Kalo dari segi tugas, gue liat liat gaada bedanya sama gue sekolah offline dulu.

Adek gue aja sampe mendeklarasikan ""gue ga akan mau masuk sekolah SMA di sekolah lu.""","bedanya yang bikin lebih berat saat ini, siswanya jadi kudu belajar dewe.

kalo dari segi tugas, gue liat liat gaada bedanya sama gue sekolah offline dulu.

adek gue aja sampe mendeklarasikan ""gue ga akan mau masuk sekolah sma di sekolah lu."""
"Yak silahkan hujat tapi beneran gue ngerasa gitu. I mean, dulu gue sekolah pas offline aja tekanannya sebesar itu.","yak silahkan hujat tapi beneran gue ngerasa gitu. i mean, dulu gue sekolah pas offline aja tekanannya sebesar itu."
"@bertanyarl dibebanin ke PR. Apa-apa Pr, pr, pr, dan deadlinenya tuh gak seminggu kayak pr kalau offline. Bisa cuma sehari, dua hari dlnya. Semua mata pelajaran ada PR. Aku nemenin adikku yg sekolah offline aja ngerasain capek, apa lagi anak² seumuran dia pasti ngerasanya capek banget","@bertanyarl dibebanin ke pr. apa-apa pr, pr, pr, dan deadlinenya tuh gak seminggu kayak pr kalau offline. bisa cuma sehari, dua hari dlnya. semua mata pelajaran ada pr. aku nemenin adikku yg sekolah offline aja ngerasain capek, apa lagi anak² seumuran dia pasti ngerasanya capek banget"
"@bertanyarl Hmm gimana ya aku ngejelasinnya... 

Kalau kita sekolah biasa kayak offline gitu kan latihan ya latihan aja gitu kerjain pas mata pelajarannya berlangsung. Pulang juga paling bawa beberapa PR, dan aku yakin ga semua mata pelajaran ada PR. Tapi sejak sfh tuh, tugasnya jadi-c","@bertanyarl hmm gimana ya aku ngejelasinnya... 

kalau kita sekolah biasa kayak offline gitu kan latihan ya latihan aja gitu kerjain pas mata pelajarannya berlangsung. pulang juga paling bawa beberapa pr, dan aku yakin ga semua mata pelajaran ada pr. tapi sejak sfh tuh, tugasnya jadi-c"
beeeeesok gue sekolah offline for the first time setelah sekian lama AOWKWKW,beeeeesok gue sekolah offline for the first time setelah sekian lama aowkwkw
"@convomf gue ngeri di praktikumnya sih. gatau kenapa kaya belum siap aja gitu. mungkin karna efek kelamaan online, ya ? ada yang ngerasa gini juga engga si ? jangan - jangan cuma gue doang yang ga ada rasa excited mau sekolah offline π____π","@convomf gue ngeri di praktikumnya sih. gatau kenapa kaya belum siap aja gitu. mungkin karna efek kelamaan online, ya ? ada yang ngerasa gini juga engga si ? jangan - jangan cuma gue doang yang ga ada rasa excited mau sekolah offline π____π"
"@armyfess_ Sksd aja my gapapaa, lumayan kan ada temen ngobrol di kelas kalo udah sekolah offline👍","@armyfess_ sksd aja my gapapaa, lumayan kan ada temen ngobrol di kelas kalo udah sekolah offline👍"
@convomfs kalian udah sekolah offline belum,@convomfs kalian udah sekolah offline belum
@quarrenity IYAAA. Ambil shift malem mumpung besok sekolah offline ehehheeh,@quarrenity iyaaa. ambil shift malem mumpung besok sekolah offline ehehheeh
semenjak sekolah offline jadi jarang buka studytwt 🥲,semenjak sekolah offline jadi jarang buka studytwt 🥲
Kapan sekolah offline sie😭😭,kapan sekolah offline sie😭😭
"@convomf Ga relate di gw si, soalnya gw lebih ngerti pelajaran yg di sampaikan sama gurunya lewat offline. Walaupun di sekolah mh kgk ada temen yodeh lh ya, yang penting pelajaran nya masuk ke otak. Kalo online mh mana gw bangunnya kesiangan, ngantuk mulu lagi","@convomf ga relate di gw si, soalnya gw lebih ngerti pelajaran yg di sampaikan sama gurunya lewat offline. walaupun di sekolah mh kgk ada temen yodeh lh ya, yang penting pelajaran nya masuk ke otak. kalo online mh mana gw bangunnya kesiangan, ngantuk mulu lagi"
"Dah ah pen bobok anj
Bsok ku kudu bangun pagi n sekolah offline lgie smsksksdmcndj heuhhh https://t.co/KI0SdAHXXW","dah ah pen bobok anj
bsok ku kudu bangun pagi n sekolah offline lgie smsksksdmcndj heuhhh https://t.co/ki0sdahxxw"
"@oojixsz kak nath kangen huee,aku sekarang udah sekolah offline,dari jam 07:00-16:30 setiap hari jadi udah jarang megang hp gitu…padahal kangen buat jbjb TT
kak nath apa kabar?","@oojixsz kak nath kangen huee,aku sekarang udah sekolah offline,dari jam 07:00-16:30 setiap hari jadi udah jarang megang hp gitu…padahal kangen buat jbjb tt
kak nath apa kabar?"
"Gue besok sekolah offline,tp males tidur njir 😭😭😭","gue besok sekolah offline,tp males tidur njir 😭😭😭"
@gabyJKT48 Jam berapa nih ? Takutnya besok gak bisa liat karna sekolah offline,@gabyjkt48 jam berapa nih ? takutnya besok gak bisa liat karna sekolah offline
"Bioskop udah buka, sekolah udah mulai offline, gym buka semua. Kenapa cuma shake n shape yg ga buka2 lagi 😭 butuh olahraga bgd","bioskop udah buka, sekolah udah mulai offline, gym buka semua. kenapa cuma shake n shape yg ga buka2 lagi 😭 butuh olahraga bgd"
"lawak bgt sekolah gue, kalo HUT sekolah diadakan secara offline sedangkan maulid nabi diadakan online cuih ternyata lebih penting hut dari pada agama:)","lawak bgt sekolah gue, kalo hut sekolah diadakan secara offline sedangkan maulid nabi diadakan online cuih ternyata lebih penting hut dari pada agama:)"
"@BaskaraRaditya_ anyway bar, tips biar cepet ngantuk dong besok gue harus sekolah offline 😔","@baskararaditya_ anyway bar, tips biar cepet ngantuk dong besok gue harus sekolah offline 😔"
"besok sekolah offline tapi masih belum ngantuk, malas tidur 😞😞","besok sekolah offline tapi masih belum ngantuk, malas tidur 😞😞"
"gw punya sekolah lucu banget najis. KP3 offline wajib ikut, ptmt berjalan, sahabat belajar berjalan, tapi giliran kena teguran lgsg ketar ketir, awikwok https://t.co/9Ffar2SHFn","gw punya sekolah lucu banget najis. kp3 offline wajib ikut, ptmt berjalan, sahabat belajar berjalan, tapi giliran kena teguran lgsg ketar ketir, awikwok https://t.co/9ffar2shfn"
yg nggak gue suka pas sekolah offline ini tu...dari jam 7 sampe 10 murid cmn boleh duduk doang ga boleh bawa minum/makan gaada istirahat sumpah apa gk pegel mana kursinya kayu lg,yg nggak gue suka pas sekolah offline ini tu...dari jam 7 sampe 10 murid cmn boleh duduk doang ga boleh bawa minum/makan gaada istirahat sumpah apa gk pegel mana kursinya kayu lg
besok harus sekolah offline,besok harus sekolah offline
"moots, cara biar cepet ngantuk dan tdr gmn? bsk harus sekolah offline soalnya huhu","moots, cara biar cepet ngantuk dan tdr gmn? bsk harus sekolah offline soalnya huhu"
"@jakegolddz aku udah sekolah offline 😭 waktu buat istirahat aja sering kurang huhuu. hype enha sama bangtan udah susah dbjsjsmaka

I MISS YOU TOO😭😭","@jakegolddz aku udah sekolah offline 😭 waktu buat istirahat aja sering kurang huhuu. hype enha sama bangtan udah susah dbjsjsmaka

i miss you too😭😭"
"@chshiitravis pretty good! agak cape karena td sekolah offline but still fun, anw thank uuu nay 😆 jgn begadang jg kalo ngantuk buruan tidur okaayy","@chshiitravis pretty good! agak cape karena td sekolah offline but still fun, anw thank uuu nay 😆 jgn begadang jg kalo ngantuk buruan tidur okaayy"
"teruuussss ya anjir jeki taiiiiii KSEL AH. TERUS JG TEMEN KELAS GAJELASSS ULER BGT DIH. lawak banget, masa ngaduin apa yang ada di gc ke guru wkwk. padahal biasanya juga elu pada misuh misuh. terus ya.. besok sekolah offline. dah nangis aja","teruuussss ya anjir jeki taiiiiii ksel ah. terus jg temen kelas gajelasss uler bgt dih. lawak banget, masa ngaduin apa yang ada di gc ke guru wkwk. padahal biasanya juga elu pada misuh misuh. terus ya.. besok sekolah offline. dah nangis aja"
Wedeh bsk hari pertama sekolah offline,wedeh bsk hari pertama sekolah offline
besok kalian sekolah online atau offline??,besok kalian sekolah online atau offline??
"bangun pagi pagi di hari senin, harus sekolah offline","bangun pagi pagi di hari senin, harus sekolah offline"
Mengcapek besok sekolah offline harus bangun pagi² jgn begadang 😩🤯,mengcapek besok sekolah offline harus bangun pagi² jgn begadang 😩🤯
"@Ioveoid itu hal yg dilakuin setiap hari, btw lo msh sekolah online atau udah offline","@ioveoid itu hal yg dilakuin setiap hari, btw lo msh sekolah online atau udah offline"
"deluan yaa, besok sekolah offline😌 gnite!! sleep well moots🌛💛","deluan yaa, besok sekolah offline😌 gnite!! sleep well moots🌛💛"
"Tidurr, bsok sekolah offline https://t.co/VdIp9BGuFM","tidurr, bsok sekolah offline https://t.co/vdip9bgufm"
"@convomf sama nder aku juga besok kudu offline tapi lagi ada yang bikin ga enak :(( gapapa yuk sekolah aja, belajar kan hak kamu :(( semangatt! 🫂","@convomf sama nder aku juga besok kudu offline tapi lagi ada yang bikin ga enak :(( gapapa yuk sekolah aja, belajar kan hak kamu :(( semangatt! 🫂"
"@convomf Sekolah offline gapapa, asalkan kalo mtk, ekonomi dirumah aja boleh ga sih😭😭😭","@convomf sekolah offline gapapa, asalkan kalo mtk, ekonomi dirumah aja boleh ga sih😭😭😭"
Makin gw pikir pikir masa sekolah online udah nyaman banget kalo offline ga tau kenapa gw kyk males banget,makin gw pikir pikir masa sekolah online udah nyaman banget kalo offline ga tau kenapa gw kyk males banget
"@summeryish YEEESS satu bulan ini aku udah sekolah offline, kak summy!! SENENG BANGETTT BANGET! SETELAH NUNGGU SATU TAHUN akhirnya bisa ketemu T____T i’m even happier now to hear that!! 🥺 KAK SUMMY SHOULD ALWAYS BE HAPPY &lt;3","@summeryish yeeess satu bulan ini aku udah sekolah offline, kak summy!! seneng bangettt banget! setelah nunggu satu tahun akhirnya bisa ketemu t____t i’m even happier now to hear that!! 🥺 kak summy should always be happy &lt;3"
"kalian lebih suka sekolah offline apa online?
plis tugas gue gk offline gk online sama aja bejibun","kalian lebih suka sekolah offline apa online?
plis tugas gue gk offline gk online sama aja bejibun"
sudah siap sekolah offline go 😇,sudah siap sekolah offline go 😇
BESOK AKU SEKOLAH OFFLINE YEAYYY,besok aku sekolah offline yeayyy
"fyi, gue sekolah offline tapi tugasnya di kumpul di google classroom","fyi, gue sekolah offline tapi tugasnya di kumpul di google classroom"
"cape banget tugas gue numpuk. baru hari pertama di minggi kedua sekolah offline, udah numpuk aja. kadang guru tuh mikir gasi kalau anak murid itu masih ada mapel lain? iya si ngejar materi, tapi cape banget harus begadang cuma gara gara tugas 😢","cape banget tugas gue numpuk. baru hari pertama di minggi kedua sekolah offline, udah numpuk aja. kadang guru tuh mikir gasi kalau anak murid itu masih ada mapel lain? iya si ngejar materi, tapi cape banget harus begadang cuma gara gara tugas 😢"
"@BLACKPINKMARKET Kan sekolah, kuliah, uda pada offline. Jadi mereka ngurangin buat jajan. Kecuali kalo kemarin covid nganggur jadi pelampiasan ke beli merch &amp; pc gitu","@blackpinkmarket kan sekolah, kuliah, uda pada offline. jadi mereka ngurangin buat jajan. kecuali kalo kemarin covid nganggur jadi pelampiasan ke beli merch &amp; pc gitu"
"Jalanan, Mall, Bioskop, Bandara, tempat wisata dah mulai buka, anak2 mulai sekolah offline. Para pedagangpun mulai tersenyum, pasien covidpun mulai hilang di RS, semoga jadi pertanda kearah kebaikan, tetap taat Prokes supaya tdk terjadi gelombang ketiga. https://t.co/S1yTTHltp3","jalanan, mall, bioskop, bandara, tempat wisata dah mulai buka, anak2 mulai sekolah offline. para pedagangpun mulai tersenyum, pasien covidpun mulai hilang di rs, semoga jadi pertanda kearah kebaikan, tetap taat prokes supaya tdk terjadi gelombang ketiga. https://t.co/s1ytthltp3"
"Maaf moots aku jrng jbjb, akhir2 ini lg overthinking semenjak sekolah offline ☺🙏🏻","maaf moots aku jrng jbjb, akhir2 ini lg overthinking semenjak sekolah offline ☺🙏🏻"
"beberapa hari kedepan srl dulu yya, soalnya lagi sekolah offline. tugas juga numpuk 😭👍🏻","beberapa hari kedepan srl dulu yya, soalnya lagi sekolah offline. tugas juga numpuk 😭👍🏻"
@convomf KENAPA WEYYY JURUSANKU BLM BOLEH SEKOLAH OFFLINE,@convomf kenapa weyyy jurusanku blm boleh sekolah offline
"@rahmadiheru88 @kompascom @alh_koentjoro Yang terbaik untuk bangsa ya, Bro. Anak-anak sudah mulai sekolah offline, lihat Jogja kemarin sampai macet, penuh mobil luar kota, ada rasa khawatir.","@rahmadiheru88 @kompascom @alh_koentjoro yang terbaik untuk bangsa ya, bro. anak-anak sudah mulai sekolah offline, lihat jogja kemarin sampai macet, penuh mobil luar kota, ada rasa khawatir."
kenapa ya sekolah offline lebih kerasa capeknya? tapi seru sihhh,kenapa ya sekolah offline lebih kerasa capeknya? tapi seru sihhh
@lunal0veg00d1 Senin ini my first sekolah offline after 2thn ga ke sekolah🤌,@lunal0veg00d1 senin ini my first sekolah offline after 2thn ga ke sekolah🤌
"i mean, sekolah offline- sekolah biasa sih, emang tiap Senin - Jum'at","i mean, sekolah offline- sekolah biasa sih, emang tiap senin - jum'at"
"@bertanyarl suatu saat nnti yg sklh pake kerudung akan merasakan

Sekolah online                         sekolah offline https://t.co/u5KMjtTCNm","@bertanyarl suatu saat nnti yg sklh pake kerudung akan merasakan

sekolah online                         sekolah offline https://t.co/u5kmjttcnm"
besok aku sekolah offline 🚶🏻‍♀️,besok aku sekolah offline 🚶🏻‍♀️
"apakh aku hrus menangis, bsk vaksin padahal sekolah offline, trs ada pelajaran kimia &amp; visual arts AKU MAU IKUT PELAJARAN ㅠ ㅠ","apakh aku hrus menangis, bsk vaksin padahal sekolah offline, trs ada pelajaran kimia &amp; visual arts aku mau ikut pelajaran ㅠ ㅠ"
☁️ yang udah sekolah offline spill dong uang saku kalian berapa😬,☁️ yang udah sekolah offline spill dong uang saku kalian berapa😬
"@convomf gue fine fine aja kalo offline, CUMAN YA KALO EKSTRAKULIKULER OFF IN AJA GITU LOH ANJIR, GUE MAU FOKUS SAMA MAPEL, kek ada aja hambatan 😞 semoga aja ekstra kulikuler nya di hentiin sampe gue lulus di sekolah itu wkwkwkwk","@convomf gue fine fine aja kalo offline, cuman ya kalo ekstrakulikuler off in aja gitu loh anjir, gue mau fokus sama mapel, kek ada aja hambatan 😞 semoga aja ekstra kulikuler nya di hentiin sampe gue lulus di sekolah itu wkwkwkwk"
"Bukan gimana ya kalok catetan karena sekolah online its okay lah masih bisa kalok ini kan udah offline kek dia juga udah nyatet kan nanti gua yg nyatet susah"" dia tinggal nyalin santai","bukan gimana ya kalok catetan karena sekolah online its okay lah masih bisa kalok ini kan udah offline kek dia juga udah nyatet kan nanti gua yg nyatet susah"" dia tinggal nyalin santai"
"@convomf Awal 2020 dan akhir 2021. Karena itu gw sekolah offline, gw pilih dua duanya","@convomf awal 2020 dan akhir 2021. karena itu gw sekolah offline, gw pilih dua duanya"
