tweet,tweet_cf
"@wonijay @sbmptnfess Setau aku ga harus lomba offline dan antar sekolah sih, soalnya lomba online gini juga serti nya diibaratkan kayak lomba pada umumnya (yang offline) apalagi ini tingkat nasional (soalnya diadain univ untuk satu Indo) jadi seharusnya bisa dipake sih. Cmiiw ya","@wonijay @sbmptnfess setau aku ga harus lomba offline dan antar sekolah sih, soalnya lomba online gini juga serti nya diibaratkan kayak lomba pada umumnya (yang offline) apalagi ini tingkat nasional (soalnya diadain univ untuk satu indo) jadi seharusnya bisa dipake sih. cmiiw ya"
besok pagi masuk sekolah offline tp sekaranh blom tidur kenapa ya,besok pagi masuk sekolah offline tp sekaranh blom tidur kenapa ya
Sekolah offline https://t.co/0HUTtqm5v6,sekolah offline https://t.co/0huttqm5v6
tapi bsk yang sekolah offline giliran yg genapppp 😭😭😭,tapi bsk yang sekolah offline giliran yg genapppp 😭😭😭
"@BAALTlDDlES iyaah aman kl gituu xD

WKWKWKWK hayooo
aku kebiasaan sih gatau kenapa emg udh sejak SMP kebiasa bangun jam 4 gitu kalo sekolah/kuliah offline","@baaltlddles iyaah aman kl gituu xd

wkwkwkwk hayooo
aku kebiasaan sih gatau kenapa emg udh sejak smp kebiasa bangun jam 4 gitu kalo sekolah/kuliah offline"
Mau nangis gasi kek dulu pas masih normal sama offline sekolah.. setiap bangtan comeback selalu ikut po album trs fullpay mungkin grgr sibuk rl ga kerasa bgt tbtb udh rilis trs pada udh arrived ina 😭😭😭 bener bener se santai itu dulu.. tp skrng kek apa apa jadi lama bgtt 😔😔,mau nangis gasi kek dulu pas masih normal sama offline sekolah.. setiap bangtan comeback selalu ikut po album trs fullpay mungkin grgr sibuk rl ga kerasa bgt tbtb udh rilis trs pada udh arrived ina 😭😭😭 bener bener se santai itu dulu.. tp skrng kek apa apa jadi lama bgtt 😔😔
"so tomorrow finally offline school... i don't know what to react karena pengumumannya tuh dua hari yg lalu, TWO DAYS AGO?? dan gue harus mencari segala peralatan sekolah yang gaktau dmn keberadaannya karena udh 2 tahun gak sekolah","so tomorrow finally offline school... i don't know what to react karena pengumumannya tuh dua hari yg lalu, two days ago?? dan gue harus mencari segala peralatan sekolah yang gaktau dmn keberadaannya karena udh 2 tahun gak sekolah"
semenjak sekolah offline tambah stress,semenjak sekolah offline tambah stress
"Tiba tiba mikir kaya gini.. 
Sering banget dibilang “hp teross” Nih ya padahal aku pegang hp terus kan juga buat sekolah yak. Kaya.. iya dulu sekolahnya offline jadi pagi sampe sore diem disekolah nggak pegang hp, nah malemnya baru tuh keliatan pegang hp. Tapi kalo sekarang..","tiba tiba mikir kaya gini.. 
sering banget dibilang “hp teross” nih ya padahal aku pegang hp terus kan juga buat sekolah yak. kaya.. iya dulu sekolahnya offline jadi pagi sampe sore diem disekolah nggak pegang hp, nah malemnya baru tuh keliatan pegang hp. tapi kalo sekarang.."
@hwngsaint sekolah offline yg bikin aku gabisa tdr 😭,@hwngsaint sekolah offline yg bikin aku gabisa tdr 😭
besok aku sekolah offline 👌🏼,besok aku sekolah offline 👌🏼
"@parachietamol Aku hari ini sekolah offline full satu kelas. Buat aku yg di rumah gak punya temen, hari ini tu seneng banget!!! Having fun with ma bestie avv☹️❤️","@parachietamol aku hari ini sekolah offline full satu kelas. buat aku yg di rumah gak punya temen, hari ini tu seneng banget!!! having fun with ma bestie avv☹️❤️"
"@convomf Ga siap sekolah offline, eh tapi kayaknya gue doang","@convomf ga siap sekolah offline, eh tapi kayaknya gue doang"
orang-orang membenci sekolah offline hanya karena keluhan pribadi mereka. tapi apa mereka tidak memikirkan apa yang terjadi di masa yang akan datang? ingin tidak normal terus?,orang-orang membenci sekolah offline hanya karena keluhan pribadi mereka. tapi apa mereka tidak memikirkan apa yang terjadi di masa yang akan datang? ingin tidak normal terus?
"jangan gitu, mending dibiasakan. memang kamu mau sekolah online terus? bisa saja kamu kaya berdoa semoga p word ini diperpanjang lagi. mau sampe kapan? ayo, kalau tidak mau sekolah offline, silakan, masih ada yang namanya home schooling. https://t.co/2f4113NipW","jangan gitu, mending dibiasakan. memang kamu mau sekolah online terus? bisa saja kamu kaya berdoa semoga p word ini diperpanjang lagi. mau sampe kapan? ayo, kalau tidak mau sekolah offline, silakan, masih ada yang namanya home schooling. https://t.co/2f4113nipw"
baru 3 hari sekolah offline gatau knp tp jd kayak mentally unstable,baru 3 hari sekolah offline gatau knp tp jd kayak mentally unstable
adek gue dateng dateng nyari tas sekolah soalnya bsk offline,adek gue dateng dateng nyari tas sekolah soalnya bsk offline
"@nzz0502 Udh masuk, liat kknya sdh sekolah tk dia mau ikutan, jd ku masukin PAUD aja. Offline bund 🤣","@nzz0502 udh masuk, liat kknya sdh sekolah tk dia mau ikutan, jd ku masukin paud aja. offline bund 🤣"
"besok sekolah offline, sama dl tugas video masak","besok sekolah offline, sama dl tugas video masak"
