username,tweetcreatedts,tweet
mcdspicy_,2022-06-16 09:36:32+00:00,"@convomfs jan : sekolah offline seruu
feb : tante meninggal + pusing uprak
mar : aku di operasi
apr : pusing, nangis belajar utbk
may : utbk 
jun : deg deg an nunggu hasil utbk tiap hari tkut bgt:)"
xguminghao,2022-06-16 08:58:51+00:00,"Karena gue pasti ga dibolehin buat offline, mau minta yg online aja DISURUH MIKIR DULU MAU SEKOLAH KEMANA

BENER SIH SEKOLAH LEBIH PENTING CUMA TIMINGNYA JLEK BANGET KUDU FIX SEKOLAH BARU DIBAYARKAN 😭😭😭😭 https://t.co/QY6XhwE6V8 https://t.co/WWA3SvX1l3"
jeffraey,2022-06-16 08:38:17+00:00,"💭 things u remember from 2022? 

jan : sekolah offline seminggu 3x tapi ½ hari doang
feb : SEKOLAH ONLINE LAGI HMZ
mar : GIDLE COMEBACK &gt;____&lt;
apr : ujian lsp 😥
may : dunno, tapi di bulan ini gue merasa banyak duit karena lebaran 🤣
jun : ujian ptn, semoga lulus deh ya https://t.co/UBdPjMQgzD"
nmgizn,2022-06-16 08:30:38+00:00,"@convomfs jan : sneng krn udh skolah offline trs mulai suka sm org sekolah
feb : sdih krn daring lg 
mar : stress berat krn dh mau to 
apr : bulan keramat bgt soalnya gua uprak sm ujian skolah trs jg gua udh mulai akrab sm crush cm sbntr doang 
may : study tour💕
jun : kelulusan💯😻☝🏻"
mstrdmind,2022-06-16 08:12:00+00:00,gue pas kelas pagi offline dan baru sadar bocil kematian udah mulai sekolah lagi https://t.co/eA8oCqr7J9
tweetiefrutea,2022-06-16 08:07:23+00:00,"@convomfs Jan : stress, angst, mulai sch offline
Feb : sch tiba-tiba online lg + ujian praktek video
Mar : ujian sekolah + gagal lolos snm
Apr : mulai move-on dan fokus belajar sbm
May : ovt sepanjang hari + utbk 
Jun : ngambil ijazah + cap 3 jari"
notzelin,2022-06-16 08:07:07+00:00,dulu pas adek masih sekolah offline kelas 10 doi sering pulang telat dimarahin diem aja ga pernah jawab ternyata telatnya karena selalu minjemin temen sebangkunya kalo ada tes/pr yg perlu pake hp karena temennya ga punya jd doi nungguin temennya selesai tes dulu 🥲
serambinews,2022-06-16 07:49:55+00:00,"Dalam menyambut momentum tahun ajaran baru dan kembalinya bersekolah secara offline, Gramedia menghadirkan rangkaian promo “Gramedia Sahabat Sekolah”.
 
https://t.co/w3Eg0SHw8E via @serambinews"
Askrlfess,2022-06-16 07:41:21+00:00,"[askrl] misalkan keterima volunteer offline luar sekola, pas jadwal sekolah masuk tuh gimana izin nya?"
talesofkirei,2022-06-16 07:34:55+00:00,"@convomfs jan : sekolah offline
feb : sekolah online
mar : online agak gila
apr : lebih gila lagi
may : puncak kegilaan
jun : libur"
pettiest_,2022-06-16 07:23:45+00:00,"@_tsumutoroo__ ehiyaaa gakpa kak, yg sekolah emang banyak yg udah offline sik kak tp klo prodiku masih belum :("
loafsnanadoyie,2022-06-16 07:23:10+00:00,"@convomfs jan : sekolah offline 100% lagi 
feb : uprak
mar : ujian sekolah + pengumuman snmptn 🥲
apr : puasa &amp; my bday
may : lebaran dan pulkam ke Malang lagi after 5 tahun ga pulkam + utbk
jun : NUNGGU PENGUMUMAN SBMPTN, DOAIN AKU LOLOS PIL 1 YAAA🙏🏻"
dhijkv,2022-06-16 07:18:13+00:00,"@convomfs 💭 things u remember from 2022? 

jan : jl byk post &amp; sering online after a long time
feb : tugas hafalan senam skj 2018
mar : txt 3rd anniv &amp; nonton fanlive mereka
apr : sekolah offline jor-joran
may : idhul fitri tp cuma libur seminggu
jun : bts cb (jgn lupa stream yet to come)"
knyfrmnday,2022-06-16 06:53:46+00:00,"@schfess Boleh nyaranin Brain Academy Offline by Ruangguru nder? Kali aja deket sama rumah&amp;sekolah dan lebih affordable🔮💫✨️ boleh bgt dm buat konsul sm tanya2 harga ya, skalian lagi ada promo sebelum Juli+cashback. Bantu spill fasilitasnya jg lwt video ini yaa🎏 https://t.co/nGqOnGRY9H"
Kremata_Channel,2022-06-16 06:36:43+00:00,@firsteinlight @wxndwitch Harus verifikasi offline ke sekolah tujuan. Baru nanti muncul di onlinenya.
gagitukonsepnya,2022-06-16 05:51:24+00:00,"@convomfs jan : offline school
feb : uprak
mar : ujian sekolah
apr : gada yang special
may : kelulusan
jun : utbk, jalan sama bestie yang lama ga ketemu"
hrkyaddict,2022-06-16 05:44:56+00:00,@convomfs jangan sampe sekolah online lagiiii gue sama temen² gue udh puyeng mikirin progja offline PMR masa harus diubah jd online?!!??!
laamintchoco,2022-06-16 05:09:14+00:00,"@convomfs things u remember from 2022? 

jan : sekolah offline 100%
feb : omricon trus daring
mar : daring
apr : daring
may : lebaran trus masuk offline. akhir mei pat.
jun : pat selesei:)"
igiei_,2022-06-16 05:04:31+00:00,"@convomfs 💭 things u remember from 2022? 

jan : ultah, sekolah offline, hebring snm
feb : daftar snm keknya
mar : uprak, us, alhamdulillah lolos snm
apr : puasa, main, drakoran
may : lebaran, main, graduation
jun : so far baru inget captijar ama kerumah bu juni"
herniardiani,2022-06-16 04:32:57+00:00,"@BudiGSadikin pak, kpn rencana vaksin covid booster utk usia 6-17 th ? sdh masuk liburan sekolah (mobilitas meningkat),sekolah udah offline setiap hr, kasus covid lg tinggi. mohon dipertimbangkan boosternya &amp; jg pelaksanaan vaksin covid bagi usia 6 bln - 5 th ya pak.. 🙏"
deyphorcia_,2022-06-16 03:55:10+00:00,"@convomfs jan : sekolah offline yey
feb : sekolah online lg -_-
mar : uts, us, ngurus berkas, dll. sgtt penat
apr : puasa, bukber, uprak seru pol, ditolak ipb 💔
may : lebaran, utbk
june : gradu, pengumuman sbm semoga lolos pil 1/pil 2 aamiin 🤲"
exajun,2022-06-16 03:20:25+00:00,"@convomfs jan : sekolah offline
feb : masuk eligible milih jurusan, pesta bareng temen
mar : ga keterima snm
apr : bimbel, to, puasa, nangis, cape
may : utbk, nangis, cape, hampir gila keknya
jun : keterima SBM WKAKWKA TOLONGGG PLSSS AAMIININ 🙏🏻"
junjunxiaojun,2022-06-16 02:55:09+00:00,"💭 things u remember from 2022? 

jan : pertamakali sekolah offline
feb : online lagi, foto bookyear
mar : pts online, uprak offline
apr : us offline
may : JOGJAAAAAAAA 
jun : kelulusan, wisuda https://t.co/gJHgrTujbp"
kendaraanroda3,2022-06-16 02:45:35+00:00,sekolah gw beneran gada gradu offline yah... hade
Mikalda04,2022-06-16 02:28:58+00:00,"Berasa gk sekolah walaupun 1.5thn offline (sebelum pandemi)

Apalagi abis itu nganggur setahun dah beneran kerasa nganggur😭 https://t.co/wvglv7kJir"
boonboonii,2022-06-16 02:18:16+00:00,buat c0vid plis jangan naik lagi gw mpls sma gw offline😭😭😭😭 gw mau sekolah offline😭😭😭😭😭
kidultranpoe,2022-06-16 02:03:03+00:00,"lo tau kenapa gue tetep antusias sekolah offline meskipun masa masa kelas 10 gue selama ini kek rollercoaster? ya karena SMA itu sekolah berseragam yang paling terakhir, kalo udah kuliah mana bisa kayak gini lagi😭

i need those songs to colors my imagination up"
marya2197,2022-06-16 01:40:05+00:00,@PPDBDKI1 @Nokomplen Maksudnya disini langsung ke sekolah secara offline atau tunggu dihubungi sekolahnya ya kak?
Rakirockst4r,2022-06-16 01:34:44+00:00,"@convomfs jan : sekolah mulai offline
feb : uprak uprak + covid
mar : keluar pulau daftar sekolah + imtihan
apr : date panas panas jam 11 ke pantai
may : disidang bk krn pernah pacaran + hug my cutie so tight
jun : maybe for the last time, i met my karina"
mbotaja18,2022-06-16 01:32:09+00:00,"@Askrlfess Anak sekarang seneng bgt daring, klo kuliah/sekolah milih daring tpi tetep aja nongkrong sana sini, pdhl klo sekolah/kuliah enakan offline tau drpada daring"
machaniey,2022-06-16 01:19:19+00:00,"💭 things u remember from 2022? 

jan : sekolah offline 100%
feb : konflik banyak banget ya Allah tolong
mar : UAS
apr : ujian ujian sekolah tidak ramah
may : LIBOR AHAHAHAHA
jun : Sibuk PPDB guys https://t.co/e13Mk6mlqj"
