username,tweetcreatedts,tweet
faranisasky,2022-06-11 01:10:25,"@armyfess_ AGAK SUSAH NAIKNYA 3. INI DURASINYA HAMPIR 5 MENIT, DAN DURASI TUH NGARUH KE VIEWS 4. GAK SEMUA ARMY NGANGGUR, MUNGKIN DULU JAMAN DYNAMITE SAMA BUTTER CEPET BANGET KARNA MEREKA JUGA WORK FROM HOME YANG SEKOLAH JUGA DARING GAK OFFLINE"
sigit_wicaks,2022-06-11 00:14:53,"@jentayuu_ @DeviCahyani13 @khusnasani kalo setau saya ppg prajabatan nanti sistem nya kuliah offline, jadi akan bentrok jam nya dengan jam mengajar di sekolah .."
grcyvrxjkv,2022-06-10 23:06:38,"Akhirnya berangkat sekolah lagi wkwk kadang offline kadang online capek banget, btw aku berangkat sekolah dulu☺🙌🏻 semangat yg lagi masih streaming😍🔥"
bis_sekolah,2022-06-10 18:13:30,@collegemenfess kalo offline ga cukup sih
praomk,2022-06-10 14:19:56,"uas offline
kok enk yang lain online. Males datang ke sekolah etdah"
Jevaisbie,2022-06-10 13:10:39,"@armyfess_ Nder, sekarang udah mulai pada sekolah offline. Kerja juga udah ga wfh lagi. Jadi pasti beda, kurangin menfess kaya gini bisa ga? Kasih semangat aja, streaming jgn dijadiin beban"
Sky_lurr,2022-06-10 12:40:46,"Besok2 kalo ngisi form dibaca dulu kaya di sekolah ga diajarin baca aja, baca itu offline apa online. Lagi di indo kok bisa2nya ngisi form kaya ga ada rasa bersalah bgt. Btw Soodam cantik bet
#SECRET_NUMBER https://t.co/zj1wIBykXX"
wonuuyu,2022-06-10 12:26:56,"Gw kaget banget pas sekolah offline di tingkatan baru..

Kemarin ada dekel yang lagi becanda sama temen gw dan temennya, terus dia TWERKING DI DEPAN MUKA GW mana gw lagi duduk di lantai😭"
yeonjjunijjun,2022-06-10 11:39:52,"Gara² banyak temen yg sakit jadi ikut gak berngkat, itu pas awal² masuk sekolah offline lagi https://t.co/rqEpx8DIjU"
simichiro_,2022-06-10 11:25:09,"Yang penting usaha dulu nder, ini krn album juga, rl army jg udah beda skrg, byk yg udah masuk sekolah offline, semangat streaming https://t.co/smBFvbN83W"
hanicamaFHUI,2022-06-10 10:54:24,"aku aja sekarang jam 12 bener bener udah nguantuk pol, bahkan sampe bisa ketiduran dibangku/kasur lgsg. fakotr masuk sekolah offline dan lagi PAT kali yaaa https://t.co/VcJO6PXBNO"
crustaseaa,2022-06-10 10:07:01,kangen bgt demiapapun mandi siap siap dress up-make up-tipis tipis+parfume sebotol buat ke sekolah hiks hiks mau balik lg tp ke pas sma bukan kuliah yg offline oh no gue takut kalo itu
Army_BTS137,2022-06-10 10:02:30,"@indomyfess tadi siang lambat karna banyak Army yang punya aktivitas di real life juga, kek kuliah, apalagi lagi masa-masanya UAS, yang sekolah juga, yang kerja, dan sekarang kan masuk new normal aktivitas serba offline jadi beda kek pas dynamite or butter yg pada stay di rumah bisa nyambi"
amazedenergy,2022-06-10 09:57:06,"@yeochinuri pokoknya dulu pas awal awal pandemi, kan kuliah dan sekolah offline. wkt itu aku sibuk tugas akhir dan kakaknya ini sekolah offline, wkt itu anaknya gk mau kerjain tugasnya padahal udah diminta sama gurunya, aku malah dilempar buku, dikata katain, bener bener sampe nangis anj😭🥹"
vctzlovebot,2022-06-10 09:44:01,wkwkwk tp dia jg rewel bgt minta luluran grgr badannya tambah keling semenjak sekolah offline
echanlieur,2022-06-10 09:13:40,ga terima bgt kenapa pas gue udah lulus malah banyak kegiatan offline di sekolah anying hsusheishsje 😩😩😩😩
nctten,2022-06-10 08:52:33,sekolah offline enak https://t.co/6HBy6Ut4Y5
alpacapaca__,2022-06-10 08:43:34,IHH INI MAHH SELALUUU WAKTU MASIH SEKOLAH OFFLINE. terus tuh kadang minumnya air lemon waktu kelas 9 https://t.co/5MkymcflqQ
Njmltfamam10_,2022-06-10 08:27:39,"@asumsico Udahlah ,gua pengen sekolah offline pengen ngerasain yang namanya bener bener sekolah"
madebyadr,2022-06-10 08:25:20,"@yoongimp3 Oh iyaaa ini masih jumat kan ya, iya-iya. Bener banyak yang udah sekolah offline dan wfo 😭😭"
caratsxx,2022-06-10 07:59:07,"@schfess b aja krna online ya gak ketemu di sekolah ak kls 10 dia 12 pas offline dia dah lulus, klo sepupu 1 lagi pas smp ya b aja juga rumahnya sampingan😭"
sloppypoppy,2022-06-10 07:33:05,"@rifkka yg mandu ARTku yg bikin, aku belanja bahan2 aja. hehe.
skrg krn udah sekolah offline jd aku ga bisa bangun siang 😂 walau tidur malem tetep bangunnya hrs pagi 🥲"
