username,tweetcreatedts,tweet
bayufernanda32,2022-05-29 14:54:15,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/go1vUEQIPl Kader PDIP Bersama Puan"
kinanti_dwei,2022-05-29 14:41:50,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/uRkwmdw400 Puan Peduli Wong Cilik"
dwi_prmt,2022-05-29 14:39:23,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/ZxKSziJSdr Kader PDIP Bersama Puan"
ridwan_rzky,2022-05-29 14:35:43,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/bNZiRyumol Kader PDIP Bersama Puan"
didin_sapalas,2022-05-29 14:32:10,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/2Trmc9dv38 Kader PDIP Bersama Puan"
devina_stn,2022-05-29 14:31:11,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/68js7ZPuV4 Kader PDIP Bersama Puan"
alwayssy_a,2022-05-29 14:29:01,"Sekarang sekolah-sekolah dan universitas-universitas sudah mulai memperbolehkan pembelajaran tatap muka, walau belum semuanya 100% melaksanakan pembelajaran tatap muka."
herlan_suhee,2022-05-29 14:23:07,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/RfN2QjRS7q Kader PDIP Bersama Puan"
vita_vemira,2022-05-29 14:19:20,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/RKffdsNj0J Kader PDIP Bersama Puan"
mafalahh,2022-05-29 14:17:07,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/h2LHxnFaqJ Kader PDIP Bersama Puan"
