username,tweetcreatedts,tweet
wattpadaddict__,2022-06-08 06:10:47,"Setiap pulang sekolah selalu aku ajak tatap muka berdua di kelas anak- anak yang bermasalah tersebut
Mereka sadar kalo mereka salah, mereka juga sadar kalau orangtuanya tidak peduli

Sayang sekali, mereka seperti sudah kehilangan semangat belajar
Faktornya sangat banyak sekali"
wencod,2022-06-08 05:27:29,"Hari terakhir sekolah, padahal baru 1,5 bulan tatap muka. Pas anaknya mulai seru sama teman2 dan guru2nya, eh mau naik kelas nih 🥲❤

Salut bgt sama guru2 TK, hebat ciptain bonding sama muridnya, padahal selama ini banyakan online."
joifully_,2022-06-08 04:38:28,"2019 tahun pertama itu dpt ucapan di pake sticky notes gitu banyak BGT. 2020 kopit HAHHAHA lewat zoom nyanyi-nyanyi. 2021 di sekolah dikasi kue tapi ini masih tatap muka terbatas ya, jadi sedikitannn agak sepi(?) terus waktu itu gue abis kecelakaan sampe ga bisa ngomong WKWKWK https://t.co/a1hRgvhvq9"
berkah_ramdhan,2022-06-08 00:54:05,"“Dalam memantau pelaksanaan pembelajaran tatap muka (PTM). Pemerintah pusat bersama-sama dengan pemda dan pihak sekolah agar menjaga peserta didik dari penyebaran penyakit ini,” – Puan Maharani"
faisalrosanto,2022-06-08 00:27:46,"hari ini semua anak sekolah sudah tatap muka, dan yg menarik adl skrg gak bisa bedain anak SMA sama anak aliyah.
untuk gak sekolah di masa skrg. apa menariknya coba?"
pacarnyaharis_,2022-06-07 17:40:25,"@AREAJULID Setelah sekolah resmi belajar tatap muka mulai akhirnya mereka paham bahwa guru asli mereka guru yg baru, akhirnya lama-kelamaan mereka beradaptasi dan anak2 jadi seneng diajar sama gue dan deket sama gue bgt, pas akhirnya gue resign mereka sedih"
cips_id,2022-06-07 10:09:30,"Sekarang sekolah telah memberlakukan pembelajaran tatap muka (PTM) sebesar 100%, setelah 2 tahun lebih para murid belajar jarak jauh &amp; hybrid. CIPS melakukan survei kepada 300 lebih orang tua murid terkait kebijakan pendidikan selama pandemi berlangsung. https://t.co/kcAJYY8oyD"
fadhilahrzkn,2022-06-07 09:51:59,"walopun bukan anak sekolaan, gua turut merasakan hikmah dr dimulai kembali belajar tatap muka: banyak kang jajanan!
yep. the perks of rumah samping sekolah wkwkw"
Nieza_Styles,2022-06-07 01:30:23,Tapi mas udah kayak Sekolah aja sekarang tatap muka... Coroncesss Hilang Sungjin pun Datang aiihhh Virus Cintamu bikin aku Ngreog lo mas....❤️❤️❤️ https://t.co/QakPvnYEbf
jagapatidotcom,2022-06-06 12:30:11,"Tapi, emang udah siap hidup normal? 🤔

Kembali menghadapi...
👉🏻 Kemacetan
👉🏻 Sekolah, kuliah, ngantor 

Semuanya dilaksanakan 100% tatap muka 🤣

(3/4) https://t.co/IaVfcO4DWw"
Crisa_na,2022-06-06 08:21:33,"Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/P0XWoWjS9J #APBN2023UntukRakyat Puan Solusi Bangsa"
gogogentur,2022-06-06 08:17:09,"@YogiManaLagi11 @andreayudias @tvindonesiawkwk Bisa jadi dilebih²kan.
Btw apa dulu pihak sekolah tidak mengecualikan beberapa murid yg tidak mampu supaya bisa masuk tatap muka disekolah.soalnya di beberapa daerah ada yg begitu.
Dan yg bikin heran apa sekolah tidak mau ngecek kondisi anak yg udah 1th tidak ikut pembelajaran."
