username,tweetcreatedts,tweet
txtdariuci,2022-06-20 16:40:25+00:00,"makin kesini gua di bikin penasaran sama ni bocah, waktu itu gua sekolah setengah-setengah. Kadang Offline kadang online. Dan setiap kali offline gua selalu curi-curi pandang buat nyari dia yang mana. Trus dia ngechat kaya gitu, ya makin suka lah gua anj 

https://t.co/VDJTf5fTd3"
itbfess,2022-06-20 14:30:05+00:00,"itb! Atau kalau mau offline tolong tanggalnya di mepetin ke akhir bulan, bisa mendekati osjur atau sekolah… sehingga bisa langsung lama di Bandung. Jangan di awal bulan begini dan dadakan😭🙏🏻 izin kita idul adha sama keluarga dlu kak please😞"
seokrakwon___,2022-06-20 14:09:51+00:00,"@prince_donghwa Langsung ke sekolah aja kayaknya bisa, udh offline juga, lebih enak langsung ke sklh, ga ribet"
Pacartahehyung,2022-06-20 14:03:55+00:00,"@wa_naju @owbgtu lah, sekolah gua offline LOL. Gausa bikin masalah seakan² sekolah laen ulangan ya online lah, lo kkira sekolahan lo doang yg offline wkwk"
simp4llucas,2022-06-20 13:44:38+00:00,"@creamycookiesx bismillah, mau sepatu inii kak, kebetulan bulan depan udah sekolah offline, sama minta doanya ya semoga masuk di sma pilihan 1 (╥﹏╥) anw semoga kedepannya sukses, dilancarkan rejekinya, sehat selalu kak devv 🤎 https://t.co/Cx15nllwgx"
anakecilpinter,2022-06-20 13:32:01+00:00,"@subschfess tapi SMA menurutku seru sih ttp, kyk cara berpikirnya mungkin udh beda ya jadi diskusi sama orng yg bener dan paham tu masuk gitu jadi kitanya jg bisa berkembang. Sedihny aku sekolah offline cuma dapet sebentar:("
claysaz,2022-06-20 13:25:22+00:00,@poemhrt Udahh losttt bangett sama dikit lagi bakal sekolah offline😭
melanieppuchino,2022-06-20 13:17:23+00:00,"@rasjawa Anakku sekolah di Nursery 2th, bayar mahal2 gak ada perkembangan signifikan. Di sekolah yg baru setelah pandemi, masuk 3bulan lgsung bs tulis2 dan itung. Beda bgt klw offline ama online emg. Tetep aj tapi dy dinilai kurang ama standar yg seharusnya (semua gegara pandemi)"
Yjxblue,2022-06-20 13:16:39+00:00,"@schfess Kalau pengen sekolah negeri yang bagus, saran aku bimbel nder. biar g nyesel. aku kls 9 bimbel dari awal, tmnku bimbel pas akhir2(pinteran dia). Tapi nilai ASPD Alhamdulillah aku lumayan. Bimbel itu membantu bgt, apalagi kalo kamu ada aspd.. saranku offline.. lebih enak ketemu.."
yafayay,2022-06-20 12:52:31+00:00,"@schfess kalo kamu ngerasa susah mahamin materi atau ada niatan buat masuk sekolah yang ada test nya kayak man dan lain², bisa ikut bimbel. Kalo kamu tipe yang susah buat mahamin materi kalo online mungkin bisa bimbel offline. Kalo aku kemarin engga ikut bimbel nder soalnya mahal."
cyncxzz,2022-06-20 12:08:16+00:00,"sebenernya dari TK-SMP suka mtk, tapi pas SMK bener"" ga minat lagi sama mtk gegara 2 tahun ga masuk sekolah aliasn offline class jadinya guru ngajar juga ga produktif dan bikin saya gasuka mtk https://t.co/7F1S98jEkM"
hsmleh,2022-06-20 12:05:52+00:00,sekolah gue mau online ataupun offline udh 3 tahun tetep aja kalo classmeet lombanya mobile legends
shaoyeprince,2022-06-20 11:36:34+00:00,jujur males bgt sekolah offline
ddastudy,2022-06-20 09:15:28+00:00,yallah udah kelas 12 bru kmrn coba sekolah offline lagi wkakwk smangat 23
the_cutest_leo,2022-06-20 09:03:47+00:00,"Aku kira setelah sekolah offline gw bakal punya banyak teman dan punya bf,eh nyatanya gw diperlakukan tidak baik disekolah,dibully,di caci,dihina di lempari buah,dll dan gw cuma dapat teman dikit.katanya gara"" aku bencong. Afah iya gara"" itu doang langsung di hate?  
#gaymakassar"
1s2s2p3s3p4,2022-06-20 07:23:04+00:00,"Sedih lihat akhir-akhir ini di desaku ada lumayan banyak cewe di bawah umur yg hamil di luar nikah😔 asli, rasanya aku pengen banget ngadain seminar sex education buat bocah2 di sini😭 semenjak sekolah offline byk kasus yg begini"
muffinsleep,2022-06-20 05:20:10+00:00,"@biancaajn sekolah? offline, online nilai ku turun"
perryodd,2022-06-19 17:13:13+00:00,plsplsplssss tahun ini sidang online tapi wisuda offline plsssss🥺🥺🥺 selama sekolah gapernah ngerasain wisuda diantar lengkap satu keluarga karena gue bukan siswa berprestasi huhuhu
himariees,2022-06-19 14:14:47+00:00,"@indomiestoryau siapa😭😭 aku yhh, maafin yaaa nia kalau aku sering cuekin chat kamuuu. gara gara sekolah offline jadwal ku makin padat emang sih sering buka wa tapi kadang lupa balas chat orang :(. ku juga ngerasa kok aku yang salah di sini karna aku sering cuekin chat mu-"
alestudiey,2022-06-19 13:44:00+00:00,"apayah vlog masuk sekolah, teruss daily sekolah aja (SEMOGA OFFLINE PLISSS) aku dari smp masa online terus beteee :///"
alwayskopiitem,2022-06-19 13:24:54+00:00,@ilovefikez ciee sekolah offline ya
yoon_hyt,2022-06-19 12:00:38+00:00,"Semenjak ppkm dilonggarin, arus ke arah kantor macet bgt woy. Padahal anak sekolah sama kuliah blm semua masuk offline, pas udah offline bakalan lebih parah nih"
recalleDis,2022-06-19 11:30:01+00:00,"@jjkookluvv klo pengajuan akun dri rumah jg bisa (online), offline jg bisa ke sekolahan terdekat, tapi klo verivikasi berkas harus ke sma atau smk terdekat, gak harus ke sekolah yg di tuju, kan itu konteks nya masih buat akun ppdb, bukan pendaftaran"
ketemunana,2022-06-19 11:06:24+00:00,"Fyi sekolahku baru2 aja offline lagi setelah bulan puasa ini, kemarin2nya kita bener2 masih online di saat yg lain udah offline karena ribet oleh satu dan lain hal gitu. Jadi bener2 masuk sekolah offline cuma 2 minggu abis itu langsung ulsem.."
ssunniesummer,2022-06-19 11:01:50+00:00,"@smkfess kalo dulu sekolah aku iya, jam 3. tapi pas offline sekarang cuma sampe jam 11"
sketchbyeas,2022-06-19 10:32:45+00:00,"@cloudynewwiee Pen gua tabok , buta matanya tiket ptj offline udah soldout kurang dari 1 jam ya . Kalo yang lu maksud tiket live streamingnya emang gak dibatesin bagong. Mau nyenggol fandom kita tpo goblok . Sekolah dulu yang bener njing . Maaf nder esmosyi 😂😂"
himatika_vektor,2022-06-19 10:06:21+00:00,"berisi 3 siswa dan/atau siswi yang berasal dari sekolah yang sama😍

Gimana cara daftarnya???🤔
Cukup mudah, kok. Kalian bisa langsung mendaftar secara online di: https://t.co/PkkEq44xG2
Atau bisa langsung menghubungi lokasi pendaftaran offline di rayon masing-masing."
himatika_vektor,2022-06-19 10:01:29+00:00,"berisi 3 siswa dan/atau siswi yang berasal dari sekolah yang sama😍

Gimana cara daftarnya???🤔
Cukup mudah, kok. Kalian bisa langsung mendaftar secara online di: https://t.co/PkkEq44xG2
Atau bisa langsung menghubungi lokasi pendaftaran offline di rayon masing-masing."
2406fairy,2022-06-19 09:07:52+00:00,"@shooneybby Udah mau sekolah offline,kayaknya ga sempet buka twt nanti :(("
ackagami,2022-06-19 08:50:24+00:00,"bayangin temen-temen lo ikut remedial online, sedangkan lo yang ikut acara sekolah remedialnya jadi offline."
princeochii,2022-06-19 07:07:48+00:00,"@convomf heh tmnku juga ada yg gamasuk 2thn selama sekolah offline trs tiba² diundang ke nikahan dia, nah tmn yg satu lagi setengah tahun gamasuk ajg emang pada gawaras deh kayanya udh sinting"
himatika_vektor,2022-06-19 07:03:49+00:00,"berisi 3 siswa dan/atau siswi yang berasal dari sekolah yang sama😍

Gimana cara daftarnya???🤔
Cukup mudah, kok. Kalian bisa langsung mendaftar secara online di: https://t.co/PkkEq4lAI2
Atau bisa langsung menghubungi lokasi pendaftaran offline di rayon masing-masing."
lsmwife,2022-06-19 06:49:50+00:00,"anj keinget someone yg selalu jd alasan gue stres tiap dibandingin sm ortua, bisa bisanya ga pernah ikut daring tugas telat dipanggil bolak balik sekolah trs pas offline bilang alesan krn keluarga ehh kmrn dinyatain lulus trs pas gladi entengnya bilang https://t.co/Eh5hB2Zpka"
zenmupa_,2022-06-19 05:20:16+00:00,"@schfess Pindah aja nder, aku dlu pengen pindah tp gabisa, cm sekolah 1,5 th offline tp stressnya sampe skrg"
studsarea,2022-06-19 04:14:34+00:00,"@O87HI Offline, biar bisa direview pas di sekolah juga"
abilovestory,2022-06-19 03:19:29+00:00,"awalnya aku kira aku berhasil move on, karena emang dari dulu aku tipe orang yang gampang move on. saat sekolah offline kembali, aku juga biasa aja. ga se-excited dulu aku sebelum confess ke dia. aku juga ga ngelakuin modus kaya dulu. bahkan aku bilang ke temen, aku udah move on."
sanca07_,2022-06-19 02:15:23+00:00,@sheloveshariss @onyokim_ Pentingnya sekolah offline
kucesl,2022-06-19 01:18:06+00:00,aku lagi pendewasaan di zmeet sekolah t____t sedih banget gue pendewasaan nya online KNP GA OFFLINE COBA bdjwbdhabsha pucek. tpi ttep sedih gue bsbdbebsb gue lulus T____T
filzterpjm,2022-06-18 23:51:54+00:00,@yeonjunsipil iyaaa sekolah lain di sini juga offline😭sekolah gua gk jelas bgttt pls😭
yeonjunsipil,2022-06-18 23:44:12+00:00,"@filzterpjm anjir sekolah gue classmeet online tu 2020 kemaren, sekarang dh offline semua anjir aku liat di story orang orang"
kanalbali,2022-06-18 23:32:47+00:00,"Banyak temannya sudah terlanjur asyik dengan kehidupan online sehingga seperti hidup di dunia gadget. “Dengan lagu ini, aku ingin mengajak, ayo kembali bersenang-senang bisa ketemu lagi dan kumpul di sekolah,” ujarnya. #rivialaksita #alienchild #kubukopi
 https://t.co/z411cbpLct"
